,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
889,3556220,K01213.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,0.5859643571741869,1.889e-06,-1.889e-06,4.898435517998063,0.00214,-0.00214,0.4706284340145776,0.141,-0.385,1.2398514003608343,0.0812,-0.0812,4.683056724645162,3.0,-3.0,0.8919980393051105,0.22,-0.35,7.784057002639929,,,8.967713242464216,3082.65,-3558.35,3.8044377947482086,1.0,q1_q17_dr25_tce,5959.0,80.0,-71.0,4.121,0.231,-0.099,0.8475835338643642,0.199,-0.324,294.35049,38.602131,13.379
890,3660924,K01214.01,Kepler-793 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.6566146404770976,2.203e-05,-2.203e-05,4.901231206803158,0.00392,-0.00392,0.22872792960811036,0.187,-0.257,1.3790179521491144,0.147,-0.147,5.242275975664412,12.4,-12.4,0.8919980393051105,0.39,-0.28,7.071573364211532,,,6.117987059817766,368.97,-190.84,2.9444389791664403,1.0,q1_q17_dr25_tce,5776.0,172.0,-155.0,4.34,0.185,-0.185,0.7163753066791524,0.283,-0.206,295.21664,38.77433,14.621
891,3939150,K01215.01,Kepler-277 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.9082221038243063,6.368e-05,-6.368e-05,4.963542079293469,0.00323,-0.00323,0.5675839575845996,0.148,-0.531,2.2022121188472585,0.102,-0.102,5.49017662782248,5.3,-5.3,1.420695787837223,0.45,-0.76,6.872128101338986,,,5.323497665078335,84.23,-95.49,3.914021008090819,1.0,q1_q17_dr25_tce,5968.0,120.0,-108.0,3.972,0.21,-0.084,1.0497721232486361,0.264,-0.452,286.58316,39.077202,13.42
892,8628758,K01279.01,Kepler-804 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.7327152178646656,3.311e-05,-3.311e-05,4.935925325394352,0.00192,-0.00192,0.034401426717332394,0.384,-0.035,1.7559941127813126,0.057,-0.057,5.819489282368171,6.6,-6.6,1.0784095813505903,0.29,-0.24,6.659293919683638,,,4.480060374945247,37.61,-25.3,4.028916756899646,1.0,q1_q17_dr25_tce,5768.0,115.0,-115.0,4.358,0.121,-0.11,0.7260982806996312,0.16,-0.131,293.37225,44.785141,13.749
893,8628758,K01279.02,Kepler-804 c,CONFIRMED,CANDIDATE,0.971,0,0,0,0,2.3657367131414007,5.898e-05,-5.898e-05,4.891547432524677,0.00491,-0.00491,0.11511280710050457,0.342,-0.122,1.6669518186347072,0.161,-0.161,4.646312129319266,5.8,-5.8,0.7323678937132266,0.16,-0.14,6.792344427470809,,,5.006091654046383,63.94,-43.02,3.0349529867072724,2.0,q1_q17_dr25_tce,5768.0,115.0,-115.0,4.358,0.121,-0.11,0.7260982806996312,0.16,-0.131,293.37225,44.785141,13.749
894,8509361,K01280.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,1.9599555912618118,2.052e-05,-2.052e-05,4.916497273711251,0.00302,-0.00302,0.5235443961737654,0.242,-0.427,1.528488126823066,0.0957,-0.0957,5.43153621033426,6.9,-6.9,1.425515074273172,0.72,-1.57,7.226209010100671,,,6.737595467447222,591.02,-650.6,3.696351468952637,1.0,q1_q17_dr25_tce,5743.0,174.0,-156.0,3.881,0.517,-0.138,1.0888985964804707,0.451,-0.977,296.71735,44.579659,13.951
895,8742590,K01281.01,Kepler-1742 b,CONFIRMED,CANDIDATE,0.989,0,0,0,0,3.921540462406916,0.0002006,-0.0002006,4.961617654056149,0.0033,-0.0033,0.04688358589885042,0.41,-0.048,1.250760965824695,0.102,-0.102,6.20979654142497,28.0,-28.0,1.0577902941478545,0.52,-0.17,6.137727054086234,,,2.462149662665384,8.53,-2.82,3.0633909220278057,1.0,q1_q17_dr25_tce,5776.0,138.0,-155.0,4.554,0.035,-0.196,0.6146449524049877,0.236,-0.079,286.96683,44.992489,14.427
896,8822366,K01282.01,Kepler-805 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.4614752013889123,0.000107,-0.000107,5.099139151227554,0.00279,-0.00279,0.645531326618282,0.014,-0.649,2.288891765862043,0.11,-0.11,5.551019720103791,4.7,-4.7,1.3887912413184778,0.16,-0.13,6.612041034833092,,,4.291144138196708,12.48,-9.15,4.1588830833596715,1.0,q1_q17_dr25_tce,5977.0,80.0,-80.0,4.08,0.02,-0.018,0.9442949282837524,0.086,-0.063,293.22995,45.05331,12.547
897,8972058,K00159.02,Kepler-115 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.2248456531424738,7.54e-06,-7.54e-06,4.910672407217585,0.00276,-0.00276,0.6512829764612464,0.033,-0.71,0.875968612395551,0.0852,-0.0852,4.3294166844015844,5.4,-5.4,0.8064758658669485,0.2,-0.17,7.306531398939505,,,7.061205713695002,539.01,-365.22,2.8507065015037334,2.0,q1_q17_dr25_tce,5881.0,105.0,-117.0,4.315,0.115,-0.115,0.7751878908961548,0.196,-0.161,297.71185,45.261921,13.431
898,4386059,K01340.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,1.3611323897103997,1.391e-05,-1.391e-05,5.19757870918466,0.00435,-0.00435,0.3852624007906449,0.017,-0.47,1.2706028866236991,0.137,-0.137,4.8346933442663405,7.3,-7.3,0.9477893989335261,0.47,-0.32,7.406103381237015,,,7.454899331422226,1549.16,-787.8,3.0726933146901194,1.0,q1_q17_dr25_tce,6547.0,181.0,-250.0,4.241,0.132,-0.198,0.8633118070832684,0.417,-0.278,296.43408,39.444069,13.887
899,4650674,K01341.01,Kepler-824 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.7073557729182265,1.371e-05,-1.371e-05,4.905491791926336,0.00279,-0.00279,0.11154137473290741,0.319,-0.118,1.388367211280821,0.0742,-0.0742,5.44544343143833,9.5,-9.5,1.0438040521731147,0.31,-0.24,7.116394144093465,,,6.300290259061719,237.3,-151.46,3.380994674344636,1.0,q1_q17_dr25_tce,5940.0,71.0,-79.0,4.306,0.115,-0.115,0.795252403497099,0.207,-0.155,290.47742,39.73201,14.946
