,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
3557,Kepler-344 b,Kepler-344,1,2,Transit,2014,Kepler,0,3.1339253772493953,0.000108,-0.000108,0.0,0.14236724128692196,,,0.0,1.2837077723447896,1.22,-1.22,0.0,0.233,0.109,-0.109,0.0,2.1186622548331173,,,0.0,0.02273948696948943,,,0.0,M-R relationship,0.0,,,0.0,3.3439213138424253,2.19,-2.01,0.0,6.467698726104354,,,0.0,0,,5774.0,200.0,-200.0,0.0,0.6830968447064438,0.45,-0.45,0.0,0.93,0.04,-0.05,0.0,0.04,0.014,-0.014,0.0,[M/H],4.45,0.3,-0.3,0.0,19h29m59.91s,292.4996101,+46d19m27.63s,46.3243406,6.911687537509742,29.7325,-29.7325,15.539,0.629,-0.629,13.66,0.054,-0.054,15.3025,0.000442,-0.000442
3558,Kepler-344 c,Kepler-344,1,2,Transit,2014,Kepler,0,4.841007304021167,0.001728,-0.001728,0.0,0.3974329364109001,,,0.0,1.3737155789130306,1.38,-1.38,0.0,0.263,0.123,-0.123,0.0,2.303584593327129,,,0.0,0.027906953253007873,,,0.0,M-R relationship,0.0,,,0.0,1.3001916620664788,0.21,-0.2,0.0,5.8888779583328805,,,0.0,0,,5774.0,200.0,-200.0,0.0,0.6830968447064438,0.45,-0.45,0.0,0.93,0.04,-0.05,0.0,0.04,0.014,-0.014,0.0,[M/H],4.45,0.3,-0.3,0.0,19h29m59.91s,292.4996101,+46d19m27.63s,46.3243406,6.911687537509742,29.7325,-29.7325,15.539,0.629,-0.629,13.66,0.054,-0.054,15.3025,0.000442,-0.000442
3559,Kepler-345 b,Kepler-345,1,2,Transit,2014,Kepler,0,2.1300827297422664,5.4e-05,-5.4e-05,0.0,0.06391332574365281,,,0.0,0.5538851132264376,0.06,-0.06,0.0,0.066,0.005,-0.005,0.0,0.4054651081081644,0.3,-0.3,0.0,0.0015687688384473056,0.00094,-0.00094,0.0,Mass,0.0,,,0.0,3.5937442589988975,8.57,-4.73,0.0,6.434546518787453,,,0.0,0,,4504.0,100.0,-100.0,0.0,0.4824261492442927,0.03,-0.03,0.0,0.61,0.01,-0.01,0.0,0.191,0.013,-0.013,0.0,[M/H],4.68,0.15,-0.15,0.0,19h40m54.92s,295.2288521,+45d58m15.76s,45.9710432,5.564520407322694,6.396,-7.21,14.344,0.08,-0.08,11.551,0.017,-0.017,14.0341,0.000465,-0.000465
3560,Kepler-345 c,Kepler-345,1,2,Transit,2014,Kepler,0,2.3405961324793756,2.8e-05,-2.8e-05,0.0,0.07417939817425151,,,0.0,0.7884573603642702,0.07,-0.07,0.0,0.107,0.006,-0.006,0.0,1.1631508098056809,0.9,-0.9,0.0,0.006896166687841307,0.00283,-0.00283,0.0,Mass,0.0,,,0.0,3.2895206644375325,6.25,-3.46,0.0,6.3561076606958915,,,0.0,0,,4504.0,100.0,-100.0,0.0,0.4824261492442927,0.03,-0.03,0.0,0.61,0.01,-0.01,0.0,0.191,0.013,-0.013,0.0,[M/H],4.68,0.15,-0.15,0.0,19h40m54.92s,295.2288521,+45d58m15.76s,45.9710432,5.564520407322694,6.396,-7.21,14.344,0.08,-0.08,11.551,0.017,-0.017,14.0341,0.000465,-0.000465
3561,Kepler-346 b,Kepler-346,1,2,Transit,2014,Kepler,0,2.016385521095077,1.7e-05,-1.7e-05,0.0,0.06859279146561172,,,0.0,1.297463147413275,1.24,-1.24,0.0,0.237,0.111,-0.111,0.0,2.1471001901536506,,,0.0,0.023521195041345824,,,0.0,M-R relationship,0.0,,,0.0,4.907937895857914,8.65,-8.05,0.0,6.9167150203536085,,,0.0,0,,6033.0,200.0,-200.0,0.0,0.7030975114131134,0.48,-0.48,0.0,0.95,0.04,-0.05,0.0,0.0,0.134,-0.172,0.0,[Fe/H],4.46,0.3,-0.3,0.0,19h12m02.86s,288.0119248,+46d07m03.36s,46.1176003,6.892748234475593,26.765,-25.411,15.261,0.137,-0.137,13.582,0.036,-0.036,15.1549,0.000352,-0.000352
3562,Kepler-346 c,Kepler-346,1,2,Transit,2014,Kepler,0,3.2129200846039785,9.8e-05,-9.8e-05,0.0,0.15529288440603534,,,0.0,1.4036429994545037,1.46,-1.46,0.0,0.274,0.13,-0.13,0.0,2.3646204839134985,,,0.0,0.029850021968885296,,,0.0,M-R relationship,0.0,,,0.0,3.21124679770371,1.53,-1.43,0.0,6.484635235635252,,,0.0,0,,6033.0,200.0,-200.0,0.0,0.7030975114131134,0.48,-0.48,0.0,0.95,0.04,-0.05,0.0,0.0,0.134,-0.172,0.0,[Fe/H],4.46,0.3,-0.3,0.0,19h12m02.86s,288.0119248,+46d07m03.36s,46.1176003,6.892748234475593,26.765,-25.411,15.261,0.137,-0.137,13.582,0.036,-0.036,15.1549,0.000352,-0.000352
3563,Kepler-347 b,Kepler-347,1,2,Transit,2014,Kepler,0,2.6245497445213477,0.000106,-0.000106,0.0,0.10436001532424277,,,0.0,1.0885619528146082,0.94,-0.94,0.0,0.176,0.084,-0.084,0.0,1.7119945007591924,,,0.0,0.014198719399812949,,,0.0,M-R relationship,0.0,,,0.0,5.201531097860345,9.41,-8.89,0.0,6.812345094177479,,,0.0,0,,6088.0,200.0,-200.0,0.0,0.6931471805599453,0.46,-0.46,0.0,1.05,0.06,-0.06,0.0,0.16,0.15,-0.15,0.0,[Fe/H],4.47,0.3,-0.3,0.0,19h16m47.90s,289.1995995,+49d18m20.31s,49.3056404,7.170027231496703,28.87,-27.66,14.567,0.149,-0.149,13.047,0.029,-0.029,14.4892,0.000269,-0.000269
3564,Kepler-347 c,Kepler-347,1,2,Transit,2014,Kepler,0,3.343599024002291,0.000457,-0.000457,0.0,0.16805358499624973,,,0.0,1.0116009116784799,0.84,-0.84,0.0,0.156,0.075,-0.075,0.0,1.5496879080283263,,,0.0,0.011632084229707653,,,0.0,M-R relationship,0.0,,,0.0,4.200354866721424,3.42,-3.23,0.0,6.559615237493242,,,0.0,0,,6088.0,200.0,-200.0,0.0,0.6931471805599453,0.46,-0.46,0.0,1.05,0.06,-0.06,0.0,0.16,0.15,-0.15,0.0,[Fe/H],4.47,0.3,-0.3,0.0,19h16m47.90s,289.1995995,+49d18m20.31s,49.3056404,7.170027231496703,28.87,-27.66,14.567,0.149,-0.149,13.047,0.029,-0.029,14.4892,0.000269,-0.000269
3565,Kepler-348 b,Kepler-348,1,2,Transit,2014,Kepler,0,2.0865127317821606,3.1e-05,-3.1e-05,0.0,0.07325046173959268,,,0.0,0.9242589015233319,0.29,-0.29,0.0,0.136,0.026,-0.026,0.0,1.366091653802371,,,0.0,0.009157937784765627,,,0.0,M-R relationship,0.0,,,0.0,6.086638353977577,15.24,-14.68,0.0,7.087573705557973,,,0.0,0,,6177.0,100.0,-100.0,0.0,0.8586616190375187,0.25,-0.25,0.0,1.27,0.06,-0.05,0.0,0.07,0.098,-0.089,0.0,[Fe/H],4.24,0.15,-0.15,0.0,19h49m01.22s,297.2550814,+40d32m54.20s,40.5483883,6.348759548771185,8.034,-7.818,12.676,0.069,-0.069,11.377,0.021,-0.021,12.5881,0.000161,-0.000161
3566,Kepler-348 c,Kepler-348,1,2,Transit,2014,Kepler,0,2.9050100380194257,0.000179,-0.000179,0.0,0.1292723357041392,,,0.0,0.8458682675776092,0.25,-0.25,0.0,0.119,0.022,-0.022,0.0,1.2029723039923526,,,0.0,0.00730326611012001,,,0.0,M-R relationship,0.0,,,0.0,4.899778218510606,4.63,-4.46,0.0,6.790097235513905,,,0.0,0,,6177.0,100.0,-100.0,0.0,0.8586616190375187,0.25,-0.25,0.0,1.27,0.06,-0.05,0.0,0.07,0.098,-0.089,0.0,[Fe/H],4.24,0.15,-0.15,0.0,19h49m01.22s,297.2550814,+40d32m54.20s,40.5483883,6.348759548771185,8.034,-7.818,12.676,0.069,-0.069,11.377,0.021,-0.021,12.5881,0.000161,-0.000161
